uiTimeStamp,uiCycleCounter,eSigStatus,f_VrelRad,f_RangeRad,a_AzAng,f_RcsRaw,f_AzAngVar,f_VrelRadVar,f_RangeRadVar,a_Pdh0
50,1,1,0,0,3.41184514120904,65536,0,0,0,27.742366367735
50,1,1,0,3,35.4008070704412,-39.5737560328191,0,0,0,14.1828090723198
50,1,1,0,33.75,-8.45447636876421,-5.47787515081768,0,0,0,16.0236488344661
50,1,1,-3.00981198707787,48,46.1415035015912,-11.1788074661997,0,0,0,14.1773676681173
50,1,1,0,69,-8.60191001665033,6.68834853548282,0,0,0,20.2453958385234
50,1,1,0,75,-28.1655177519179,0.794973152812062,0,0,0,14.7223801735804
50,1,1,0,83.25,-16.7900902070874,1.0500589254314,0,0,0,14.6291734570876
50,1,1,0,84.75,-26.1035518201289,4.37885527641852,0,0,0,15.3320627613789
50,1,1,-6.39585047254048,89.25,-63.290385364567,1.80456068017349,0,0,0,15.6769478083334
50,1,1,-5.64339747577101,89.25,-63.2420086831261,-1.65717561326404,0,0,0,12.9284690333782
50,1,1,0,91.875,51.5488329939432,5.83527031283829,0,0,0,12.8455492655871
50,1,1,7.14830346930995,93.75,48.9336958064942,2.89401779906849,0,0,0,14.0927201312546
100,2,1,0,0,3.41184514120904,65536,0,0,0,27.5792338182951
100,2,1,0,3,38.3323976029783,-38.6800515481561,0,0,0,14.8661855649717
100,2,1,0,33.75,44.7728460318218,-5.41285449027382,0,0,0,16.6670624573238
100,2,1,-3.00981198707787,48,-63.0144878415085,-12.0498837589531,0,0,0,12.9350129493962
100,2,1,0,69,-8.6031028905013,6.77920260498746,0,0,0,21.8322139038747
100,2,1,0,75,-29.1349980512239,0.534636339986221,0,0,0,13.7117579853874
100,2,1,0,83.25,-13.4540768951461,1.23526688622457,0,0,0,13.3062208476586
100,2,1,0,84.75,-27.4790898723347,3.8805239068454,0,0,0,13.1380519072847
100,2,1,-6.58396372173285,89.25,42.9471673517894,-1.52399098548291,0,0,0,14.7643565638246
100,2,1,-6.01962397415575,89.25,45.5719333780539,-2.04117101528111,0,0,0,12.9322809959953
100,2,1,-5.07905772819391,89.25,44.5471012899783,-0.0439963483522519,0,0,0,15.4587028230058
100,2,1,5.64339747577101,93.75,46.6316768191739,2.66899238126145,0,0,0,15.181539758426
100,2,1,6.58396372173285,93.75,47.2861251331586,0.394905701019738,0,0,0,13.2841137300107
100,2,1,7.14830346930995,93.75,48.1688970669821,0.475667684634075,0,0,0,15.2098287728927
150,3,1,0,0,3.41184514120904,65536,0,0,0,27.6841666235605
150,3,1,0,3,36.0820636986535,-39.7239307041887,0,0,0,14.6228426855995
150,3,1,0,33.75,34.5299341059224,-5.33675860739358,0,0,0,16.4748600822202
