uiTimeStamp,uiCycleCounter,eSigStatus,f_VrelRad,f_RangeRad,a_AzAng,f_RcsRaw,f_AzAngVar,f_VrelRadVar,f_RangeRadVar,a_Pdh0
50,1,1,0,0,3.41184514120904,65536,0,0,0,27.5753087325139
50,1,1,0,3,41.7073143993189,-37.9190038661089,0,0,0,15.3731420295876
50,1,1,0,28.125,-49.0633255659059,-11.6951307767819,0,0,0,12.5340244759745
50,1,1,0.564339747577101,28.125,-16.6899670578478,-12.9837299024153,0,0,0,20.6248288991523
50,1,1,0.564339747577101,28.875,-10.3489816047423,-16.6441906553396,0,0,0,15.8019746433975
50,1,1,0.376226498384734,29.625,0.774914493901225,-18.259971253848,0,0,0,17.131095729274
50,1,1,0,33.75,43.8669094076532,-4.62135784794793,0,0,0,17.710729872198
50,1,1,0,69,-8.51598737377223,5.89313744693486,0,0,0,19.9009723642662
50,1,1,-6.01962397415575,72,-43.9275611086771,-7.96236316934512,0,0,0,12.5913560398004
50,1,1,0,75,-29.671039761404,1.76532893289517,0,0,0,16.9354585086541
50,1,1,0,83.25,-17.0011975495262,3.0981099561309,0,0,0,15.0507682692861
50,1,1,0,84.75,-25.9672593567946,3.07938432986943,0,0,0,15.4004737005175
50,1,1,0,91.875,69.0622127015127,5.84873949354956,0,0,0,12.7162377760725
50,1,1,7.14830346930995,93.75,47.9542379436292,2.70484288304064,0,0,0,14.3427382278627
100,2,1,0,0,3.41184514120904,65536,0,0,0,27.6865237241811
100,2,1,0,3,39.5386093980292,-38.6967053363418,0,0,0,14.7946519370218
100,2,1,0.564339747577101,28.125,-3.58342075187987,-18.4448841123527,0,0,0,15.6961438989139
100,2,1,0.376226498384734,28.5,-9.38888963476887,-16.4636443482508,0,0,0,15.16624538015
100,2,1,0.564339747577101,28.875,-2.55367416376327,-11.5145818814142,0,0,0,21.80021414998
100,2,1,0.752452996769468,29.625,-2.45965036873306,-17.6238708413409,0,0,0,16.7212200696936
100,2,1,0,33.75,34.5122202865781,-4.9197213629152,0,0,0,15.6292538653472
100,2,1,0,69,-8.63120342829585,6.44878316136521,0,0,0,19.2049465817504
100,2,1,0,75,-29.3334789462746,2.04020412417354,0,0,0,18.3761895867864
100,2,1,0,84.75,-25.9116477339251,4.96808371213247,0,0,0,18.284913515825
100,2,1,-7.52452996769468,89.25,-61.8985672191218,-1.97175929022676,0,0,0,13.6695698443169
100,2,1,-6.96019022011758,89.25,45.4475728228892,-0.0762361175296604,0,0,0,13.7681317166477
100,2,1,-6.58396372173285,89.25,-64.345017366335,-0.248672934050276,0,0,0,12.9396706479905
100,2,1,-5.83151072496338,89.25,45.2598156539124,-0.394104823945142,0,0,0,13.5446736375238
100,2,1,0,91.875,52.5886747998354,5.54697195136465,0,0,0,12.9877942442585
100,2,1,8.08886971527178,93.75,48.6395062618302,2.40318036081706,0,0,0,14.5112007959123
150,3,1,0,0,3.41184514120904,65536,0,0,0,27.713809938833
150,3,1,0,3,36.3872754301964,-39.9211299597953,0,0,0,14.8892955778353
150,3,1,0.564339747577101,28.875,-1.71040003248638,-12.2611631763893,0,0,0,21.2588703913816
150,3,1,0.188113249192367,29.625,2.3480532143675,-18.5302973135377,0,0,0,13.9188600113353
150,3,1,0.564339747577101,29.625,-16.8215492654828,-17.0266446396244,0,0,0,16.4242893781349
150,3,1,0,33.75,43.7027774406715,-4.42776485648244,0,0,0,18.1365290039867
150,3,1,-3.38603848546261,48,-44.119605173086,-12.1834055009137,0,0,0,12.7267958284229
150,3,1,0,69,-8.79299921693506,6.38325218712818,0,0,0,20.7425111107281
150,3,1,0,75,-29.5926479179491,0.773824988951006,0,0,0,15.460801421675
150,3,1,0,84.75,-25.8735976386449,4.13412864978163,0,0,0,14.5948798786182
150,3,1,-4.89094447900154,89.25,45.8599001695584,2.00794784461738,0,0,0,15.1562593976467
150,3,1,0,91.875,63.4229323752223,5.86511618363089,0,0,0,12.8520929189251
150,3,1,5.45528422657865,93.75,47.8624031494401,3.91309342414874,0,0,0,15.9252085686917
150,3,1,8.27698296446415,93.75,48.5837954903382,0.603514767427598,0,0,0,12.7461362330886
200,4,1,0,0,3.41184514120904,65536,0,0,0,27.7493532739783
200,4,1,0,3,37.9694512881645,-38.2495713313509,0,0,0,14.224561289502
200,4,1,0.376226498384734,28.875,-2.00117047926354,-13.61931489495,0,0,0,18.5280828393645
200,4,1,0.564339747577101,29.25,-2.32806927392613,-12.1054104148975,0,0,0,23.5506663638611
200,4,1,0.188113249192367,30,3.19274121050505,-12.0963912154631,0,0,0,19.0259175342963
200,4,1,0,33.75,-6.17281353752849,-3.91202620739243,0,0,0,16.76758486755
200,4,1,0,69,-8.63795422990851,5.97914692940043,0,0,0,19.9635219485903
200,4,1,0,75,-30.0104177700047,1.59278055572979,0,0,0,17.2660610425174
200,4,1,-4.32660473142444,80.25,43.5887303279806,-6.62296073550333,0,0,0,12.5948397097481
200,4,1,0,84.75,-26.1350179963827,4.81665513646824,0,0,0,17.3326674824989
200,4,1,-5.83151072496338,89.25,45.2467919117555,3.46873842339197,0,0,0,16.9272449534159
200,4,1,-5.26717097738628,89.25,43.7091551833083,1.89354570284986,0,0,0,14.6377300960072
200,4,1,-4.89094447900154,89.25,45.5015247416199,0.236413425889239,0,0,0,13.5210132556168
200,4,1,-4.51471798061681,89.25,-63.118259925496,-1.56694372545344,0,0,0,12.6421082969356
200,4,1,5.07905772819391,93.75,47.2996628250846,1.63526057141415,0,0,0,14.135961476986
200,4,1,5.45528422657865,93.75,48.7258176379252,1.17274266294409,0,0,0,12.9511347970707
200,4,1,5.83151072496338,93.75,48.4364931368856,1.609618259074,0,0,0,13.3993097394651
200,4,1,6.39585047254048,93.75,47.938586442415,5.9730847781517,0,0,0,19.6845494486562
200,4,1,6.77207697092522,93.75,47.3925573552569,-0.781179550166925,0,0,0,13.6572800531304
