uiTimeStamp,uiCycleCounter,eSigStatus,Velocity,Accel,varVelocity,varAccel,YawRate,YVariance,LatAccel,LVariance,MotState
50,1,1,0,0,0,0,0,0,0,0,1
100,2,1,0,0,0,0,0,0,0,0,1
150,3,1,0,0,0,0,0,0,0,0,1
200,4,1,0,0,0,0,0,0,0,0,1
250,5,1,0,0,0,0,0,0,0,0,1
300,6,1,0,0,0,0,0,0,0,0,1
350,7,1,0,0,0,0,0,0,0,0,1
400,8,1,0,0,0,0,0,0,0,0,1
450,9,1,0,0,0,0,0,0,0,0,1
500,10,1,0,0,0,0,0,0,0,0,1
550,11,1,0,0,0,0,0,0,0,0,1
600,12,1,0,0,0,0,0,0,0,0,1
650,13,1,0,0,0,0,0,0,0,0,1
700,14,1,0,0,0,0,0,0,0,0,1
750,15,1,0,0,0,0,0,0,0,0,1
800,16,1,0,0,0,0,0,0,0,0,1
850,17,1,0,0,0,0,0,0,0,0,1
900,18,1,0,0,0,0,0,0,0,0,1
950,19,1,0,0,0,0,0,0,0,0,1
1000,20,1,0,0,0,0,0,0,0,0,1
1050,21,1,0,0,0,0,0,0,0,0,1
1100,22,1,0,0,0,0,0,0,0,0,1
1150,23,1,0,0,0,0,0,0,0,0,1
1200,24,1,0,0,0,0,0,0,0,0,1
1250,25,1,0,0,0,0,0,0,0,0,1
1300,26,1,0,0,0,0,0,0,0,0,1
1350,27,1,0,0,0,0,0,0,0,0,1
1400,28,1,0,0,0,0,0,0,0,0,1
1450,29,1,0,0,0,0,0,0,0,0,1
1500,30,1,0,0,0,0,0,0,0,0,1
1550,31,1,0,0,0,0,0,0,0,0,1
1600,32,1,0,0,0,0,0,0,0,0,1
1650,33,1,0,0,0,0,0,0,0,0,1
1700,34,1,0,0,0,0,0,0,0,0,1
1750,35,1,0,0,0,0,0,0,0,0,1
1800,36,1,0,0,0,0,0,0,0,0,1
1850,37,1,0,0,0,0,0,0,0,0,1
1900,38,1,0,0,0,0,0,0,0,0,1
1950,39,1,0,0,0,0,0,0,0,0,1
2000,40,1,0,0,0,0,0,0,0,0,1
2050,41,1,0,0,0,0,0,0,0,0,1
2100,42,1,0,0,0,0,0,0,0,0,1
2150,43,1,0,0,0,0,0,0,0,0,1
2200,44,1,0,0,0,0,0,0,0,0,1
2250,45,1,0,0,0,0,0,0,0,0,1
2300,46,1,0,0,0,0,0,0,0,0,1
2350,47,1,0,0,0,0,0,0,0,0,1
2400,48,1,0,0,0,0,0,0,0,0,1
2450,49,1,0,0,0,0,0,0,0,0,1
2500,50,1,0,0,0,0,0,0,0,0,1
2550,51,1,0,0,0,0,0,0,0,0,1
2600,52,1,0,0,0,0,0,0,0,0,1
2650,53,1,0,0,0,0,0,0,0,0,1
2700,54,1,0,0,0,0,0,0,0,0,1
2750,55,1,0,0,0,0,0,0,0,0,1
2800,56,1,0,0,0,0,0,0,0,0,1
2850,57,1,0,0,0,0,0,0,0,0,1
2900,58,1,0,0,0,0,0,0,0,0,1
2950,59,1,0,0,0,0,0,0,0,0,1
3000,60,1,0,0,0,0,0,0,0,0,1
3050,61,1,0,0,0,0,0,0,0,0,1
3100,62,1,0,0,0,0,0,0,0,0,1
3150,63,1,0,0,0,0,0,0,0,0,1
3200,64,1,0,0,0,0,0,0,0,0,1
3250,65,1,0,0,0,0,0,0,0,0,1
3300,66,1,0,0,0,0,0,0,0,0,1
3350,67,1,0,0,0,0,0,0,0,0,1
3400,68,1,0,0,0,0,0,0,0,0,1
3450,69,1,0,0,0,0,0,0,0,0,1
3500,70,1,0,0,0,0,0,0,0,0,1
3550,71,1,0,0,0,0,0,0,0,0,1
3600,72,1,0,0,0,0,0,0,0,0,1
3650,73,1,0,0,0,0,0,0,0,0,1
3700,74,1,0,0,0,0,0,0,0,0,1
3750,75,1,0,0,0,0,0,0,0,0,1
3800,76,1,0,0,0,0,0,0,0,0,1
3850,77,1,0,0,0,0,0,0,0,0,1
3900,78,1,0,0,0,0,0,0,0,0,1
3950,79,1,0,0,0,0,0,0,0,0,1
4000,80,1,0,0,0,0,0,0,0,0,1
4050,81,1,0,0,0,0,0,0,0,0,1
4100,82,1,0,0,0,0,0,0,0,0,1
4150,83,1,0,0,0,0,0,0,0,0,1
4200,84,1,0,0,0,0,0,0,0,0,1
4250,85,1,0,0,0,0,0,0,0,0,1
4300,86,1,0,0,0,0,0,0,0,0,1
4350,87,1,0,0,0,0,0,0,0,0,1
4400,88,1,0,0,0,0,0,0,0,0,1
4450,89,1,0,0,0,0,0,0,0,0,1
4500,90,1,0,0,0,0,0,0,0,0,1
4550,91,1,0,0,0,0,0,0,0,0,1
4600,92,1,0,0,0,0,0,0,0,0,1
4650,93,1,0,0,0,0,0,0,0,0,1
4700,94,1,0,0,0,0,0,0,0,0,1
4750,95,1,0,0,0,0,0,0,0,0,1
4800,96,1,0,0,0,0,0,0,0,0,1
4850,97,1,0,0,0,0,0,0,0,0,1
4900,98,1,0,0,0,0,0,0,0,0,1
4950,99,1,0,0,0,0,0,0,0,0,1
5000,100,1,0,0,0,0,0,0,0,0,1
5050,101,1,0,0,0,0,0,0,0,0,1
5100,102,1,0,0,0,0,0,0,0,0,1
5150,103,1,0,0,0,0,0,0,0,0,1
5200,104,1,0,0,0,0,0,0,0,0,1
5250,105,1,0,0,0,0,0,0,0,0,1
5300,106,1,0,0,0,0,0,0,0,0,1
5350,107,1,0,0,0,0,0,0,0,0,1
5400,108,1,0,0,0,0,0,0,0,0,1
5450,109,1,0,0,0,0,0,0,0,0,1
5500,110,1,0,0,0,0,0,0,0,0,1
5550,111,1,0,0,0,0,0,0,0,0,1
5600,112,1,0,0,0,0,0,0,0,0,1
5650,113,1,0,0,0,0,0,0,0,0,1
5700,114,1,0,0,0,0,0,0,0,0,1
5750,115,1,0,0,0,0,0,0,0,0,1
